"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","testSendAndReceiveCollection()","","Fri Jan 24 23:46:52 GMT 2025","passed","Fri Jan 24 23:46:52 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSendAndReceiveCollection"
"","6033","should connect and disconnect","Continuum Unavailable Tests","Fri Jan 24 23:50:45 GMT 2025","passed","Fri Jan 24 23:50:51 GMT 2025","","","",""
"","24","testRawCRI1()","","Fri Jan 24 23:46:39 GMT 2025","passed","Fri Jan 24 23:46:39 GMT 2025","","org.kinotic.continuum.internal.core.api.CRITests","org.kinotic.continuum.internal.core.api.CRITests","testRawCRI1"
"","53","should return missing method error","Continuum RPC Tests","Fri Jan 24 23:50:44 GMT 2025","passed","Fri Jan 24 23:50:44 GMT 2025","","","",""
"","5","testMonoWithVoidFromEmpty()","","Fri Jan 24 23:46:52 GMT 2025","passed","Fri Jan 24 23:46:52 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoWithVoidFromEmpty"
"","7","testNestedArrays()","","Fri Jan 24 23:46:52 GMT 2025","passed","Fri Jan 24 23:46:52 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testNestedArrays"
"","1","testEventStreamWriteWithKey()","","Fri Jan 24 23:46:52 GMT 2025","passed","Fri Jan 24 23:46:52 GMT 2025","","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","testEventStreamWriteWithKey"
"","20","testABunchOfArguments()","","Fri Jan 24 23:46:52 GMT 2025","passed","Fri Jan 24 23:46:52 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testABunchOfArguments"
"","8","testSendCollection()","","Fri Jan 24 23:46:51 GMT 2025","passed","Fri Jan 24 23:46:51 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSendCollection"
"","13","testSendTokenBuffer()","","Fri Jan 24 23:46:51 GMT 2025","passed","Fri Jan 24 23:46:51 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSendTokenBuffer"
"","2690","testSimple()","","Fri Jan 24 23:47:19 GMT 2025","passed","Fri Jan 24 23:47:21 GMT 2025","","org.kinotic.continuum.grind.internal.api.TestJobService","org.kinotic.continuum.grind.internal.api.TestJobService","testSimple"
"","1049","testRpcCompletableFutureString()","","Fri Jan 24 23:46:46 GMT 2025","passed","Fri Jan 24 23:46:47 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testRpcCompletableFutureString"
"","14","testMultipleRequests()","","Fri Jan 24 23:46:52 GMT 2025","passed","Fri Jan 24 23:46:52 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMultipleRequests"
"","104","testVertxFuture()","","Fri Jan 24 23:46:52 GMT 2025","passed","Fri Jan 24 23:46:52 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testVertxFuture"
"","54","testReverseCopyMedium()","","Fri Jan 24 23:47:51 GMT 2025","passed","Fri Jan 24 23:47:51 GMT 2025","","org.kinotic.util.FileUtilTests","org.kinotic.util.FileUtilTests","testReverseCopyMedium"
"","10330","testSingleProducerMultiConsumer()","","Fri Jan 24 23:47:51 GMT 2025","passed","Fri Jan 24 23:48:01 GMT 2025","","org.kinotic.util.TestFluxFactory","org.kinotic.util.TestFluxFactory","testSingleProducerMultiConsumer"
"","9","testLimitedFlux()","","Fri Jan 24 23:46:52 GMT 2025","passed","Fri Jan 24 23:46:52 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testLimitedFlux"
"","9","testUnknownFailure()","","Fri Jan 24 23:46:52 GMT 2025","passed","Fri Jan 24 23:46:52 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testUnknownFailure"
"","16","testSimpleObject()","","Fri Jan 24 23:46:52 GMT 2025","passed","Fri Jan 24 23:46:52 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSimpleObject"
"","70","should connect and disconnect multiple times","Continuum Client Tests","Fri Jan 24 23:50:44 GMT 2025","passed","Fri Jan 24 23:50:44 GMT 2025","","","",""
